u;c;ruin time rate (%);Expected Value at time t = 1000
1000;1;100.0;-159524.24999999985
1000;5;96.0;-155524.24999999985
1000;10;75.0;-150524.24999999985
1000;15;59.0;-145524.24999999985
1000;20;46.0;-140524.24999999985
1000;25;29.0;-135524.24999999985
1000;30;30.0;-130524.24999999985
1000;40;21.0;-120524.24999999985
1000;50;18.0;-110524.24999999985
1000;60;15.0;-100524.24999999985
1000;70;15.0;-90524.24999999985
1000;80;14.0;-80524.24999999985
1000;90;11.0;-70524.24999999985
1000;100;8.0;-60524.249999999854
